ID,Grupo,Área,"Nombre del
Activo",Descripción del Activo,Formato,Serie / Subserie,El activo de información está relacionado con el manejo de recursos de origen gubernamental,"Idioma de la información
(o tecnología asociada)","Fecha de generación del
activo de información",Fecha de determinación de clasificación de sensibilidad (y transparencia),Fecha de última revisión y actualización,Duración (años) status de clasificado o reservado,Dias transcurridos desde la última revisión,"Propietario (responsable) del activo 
(área o cargo)","Custodio del
Activo",Localización del Activo,Plazo de la Clasificacion o la Reserva
1,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,Inventario De Activos De Información,Inventario De Activos De Información de la FDN - Seguridad de la Información,Xls,Instrumentos Archivísticos / Inventarios Documentales,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Administración Del Sistema Integrado De Gestión,Administración Del Sistema Integrado De Gestión,Fileserver,Maximo que determine la ley
2,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,Gestión de Debilidades Y Vulnerabilidades,"Matriz de Gestión De Debilidades Y Vulnerabilidades, informes técnicos y ejecutivos de vulnerabilidades y actas de socialización de vulnerabilidades - Ciberseguridad",Xls /Docx /PDF/Ppt,Registros Eventos De Riesgos Operativos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección De Ciberseguridad y Seguridad de la Información,Dirección De Ciberseguridad y Seguridad de la Información,"Fileserver: \\FDNFS\Seguridad de la informacion\2. Gestion Ciberseguridad\5. Gestión de vulnerabilidades
Google Drive: https://docs.google.com/spreadsheets/d/1vnhq2M4Y8ovawOk1hY1MSqf5RpU79R7sckrLwcXG7CM/edit?usp=share_link",Maximo que determine la ley
3,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,"Gestión de Eventos, alertas  e Incidentes De Seguridad Y Ciberseguridad","Matrices e informes de eventos, alertas e incidentes  de Seguridad  de la información y Ciberseguridad- Ciberseguridad",Xls /PDF,Registros Eventos De Riesgos Operativos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección De Ciberseguridad y Seguridad de la Información,Dirección De Ciberseguridad y Seguridad de la Información,"Fileserver: \\FDNFS\Seguridad de la informacion\2. Gestion Ciberseguridad\4. Gestión SOC
Google Drive: https://docs.google.com/spreadsheets/d/1vnhq2M4Y8ovawOk1hY1MSqf5RpU79R7sckrLwcXG7CM/edit?usp=share_link",Maximo que determine la ley
4,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,Gestión de Riesgos en Ciberseguridad Y Seguridad De La Información,Matriz y actas de Gestión De Riesgos En Ciberseguridad Y Seguridad De La Información - Seguridad de la Información,Xls /Docx /PDF,Instrumentos De Control / Control De Riesgos De Procesos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección De Ciberseguridad y Seguridad de la Información,Dirección De Ciberseguridad y Seguridad de la Información,Fileserver,Maximo que determine la ley
5,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,Indicadores Ciberseguridad Y Seguridad De La Información,Indicadores Ciberseguridad Y Seguridad De La Información,Xls /Docx /PDF,Indicadores  / Indicadores De Riesgos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección De Ciberseguridad y Seguridad de la Información,Dirección De Ciberseguridad y Seguridad de la Información,Fileserver,Maximo que determine la ley
7,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,Política pública De Ciberseguridad Y Seguridad De La Información,Política De Ciberseguridad Y Seguridad De La Información expuesta en la pagina web de la FDN,PDF,Politícas / Política De Seguridad De La Información,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección De Ciberseguridad y Seguridad de la Información,Dirección De Seguridad De La Información,Pagina web FDN,Maximo que determine la ley
8,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,Documentación de Seguridad De La Información Y Ciberseguridad,"Política, manuales, procedimientos, formatos y demás documentación asociada al proceso de Seguridad De La Información Y Ciberseguridad",Docx / PDF,Politícas / Política De Seguridad De La Información,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección De Ciberseguridad y Seguridad de la Información,Administración Del Sistema Integrado De Gestión,Sistema de información pegaso,Maximo que determine la ley
9,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,Actas De Entrega De Activos,Actas De Entrega De Activos en donde se identifican los activos correspondientes a cada área de la FDN - Seguridad de la Información,Docx / PDF,Instrumentos De Control / Control De Riesgos De Procesos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección De Ciberseguridad y Seguridad de la Información,Dirección De Ciberseguridad y Seguridad de la Información,Fileserver,Maximo que determine la ley
10,VP Credito y Riesgos,Dirección de Ciberseguridad y Seguridad de la Información,Matrices de Autoridades Roles y Responsabilidades (ARR),"Matriz ARR de aplicaciones, matriz ARR accesos fileserver. - Seguridad de la Información.",Xls,Instrumentos De Control / Control De Riesgos De Procesos,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección De Ciberseguridad y Seguridad de la Información,Dirección De Ciberseguridad y Seguridad de la Información,Fileserver,Maximo que determine la ley
12,VP Credito y Riesgos,Dirección Socio ambiental,Portal Web Atlas De Justicia Ambiental (Sistema),Portal web para consultas de clientes y/o proyectos sobre la ocurrencia de conflictos ambientales y sociales,N/A,No Aplica: Sistema De Información O Software,No,Español,05/01/2020 12:00:00 AM,05/01/2020 12:00:00 AM,07/31/2023 12:00:00 AM,0,31,Dirección Socio ambiental,Atlas global de justicia ambiental,https://ejatlas.org/?translate=es,Maximo que determine la ley
